"date","geography","geography code","Rural Urban","Bedrooms: All categories: Number of bedrooms; measures: Value","Bedrooms: No bedrooms; measures: Value","Bedrooms: 1 bedroom; measures: Value","Bedrooms: 2 bedrooms; measures: Value","Bedrooms: 3 bedrooms; measures: Value","Bedrooms: 4 bedrooms; measures: Value","Bedrooms: 5 or more bedrooms; measures: Value"
"2011","Whitburn and Marsden","E05001151","Total",3323,9,268,941,1686,351,68
"2011","Whiteleas","E05001152","Total",3697,3,421,1190,1860,166,57
"2011","Barnes","E05001153","Total",4562,9,206,1461,2238,533,115
"2011","Castle","E05001154","Total",4640,27,428,1907,1951,288,39
"2011","Copt Hill","E05001155","Total",4789,17,336,1582,2185,577,92
"2011","Doxford","E05001156","Total",4134,10,280,1261,1824,638,121
"2011","Fulwell","E05001157","Total",4973,1,236,1309,2532,752,143
"2011","Hendon","E05001158","Total",5798,22,1279,2204,1695,403,195
"2011","Hetton","E05001159","Total",4982,11,573,1834,2132,372,60
"2011","Houghton","E05001160","Total",4885,4,468,1670,2210,443,90
"2011","Millfield","E05001161","Total",4839,8,774,1851,1450,485,271
"2011","Pallion","E05001162","Total",4290,3,225,1621,2161,229,51
"2011","Redhill","E05001163","Total",5063,8,440,2322,2059,185,49
"2011","Ryhope","E05001164","Total",4454,6,504,1431,1854,544,115
"2011","St Anne's","E05001165","Total",4528,10,281,1513,2299,368,57
"2011","St Chad's","E05001166","Total",4441,7,378,1977,1529,435,115
"2011","St Michael's","E05001167","Total",5065,11,928,1353,1710,779,284
"2011","St Peter's","E05001168","Total",4931,7,649,1873,1712,509,181
"2011","Sandhill","E05001169","Total",5115,9,736,2163,1890,280,37
"2011","Shiney Row","E05001170","Total",5320,7,418,1779,2289,657,170
"2011","Silksworth","E05001171","Total",4562,8,396,1490,2217,380,71
"2011","Southwick","E05001172","Total",4870,6,701,1900,1984,228,51
"2011","Washington Central","E05001173","Total",4846,10,487,1081,2604,584,80
"2011","Washington East","E05001174","Total",4363,11,205,870,2003,1113,161
"2011","Washington North","E05001175","Total",5062,10,641,1653,2309,381,68
"2011","Washington South","E05001176","Total",4384,5,291,1002,2088,800,198
"2011","Washington West","E05001177","Total",4862,8,179,1300,2513,742,120
"2011","Audley","E05001620","Total",3141,11,634,979,1161,283,73
"2011","Bastwell","E05001621","Total",2123,11,129,581,856,396,150
"2011","Beardwood with Lammack","E05001622","Total",2184,2,55,346,962,626,193
"2011","Corporation Park","E05001623","Total",2234,9,163,565,844,412,241
"2011","Earcroft","E05001624","Total",1949,5,247,822,716,131,28
"2011","East Rural","E05001625","Total",826,2,15,293,365,103,48
"2011","Ewood","E05001626","Total",3022,12,279,1258,1287,159,27
"2011","Fernhurst","E05001627","Total",2227,2,28,463,983,708,43
"2011","Higher Croft","E05001628","Total",3127,9,297,843,1645,298,35
"2011","Little Harwood","E05001629","Total",2432,4,194,874,1097,210,53
"2011","Livesey with Pleasington","E05001630","Total",2825,9,84,688,1491,465,88
"2011","Marsh House","E05001631","Total",2784,9,272,951,1137,374,41
